1.00000000	0.00710341	0.00598887
2.00000000	0.00613190	0.00538653
3.00000000	0.00507801	0.00443716
4.00000000	0.00494193	0.00438708
5.00000000	0.00439692	0.00419161
7.00000000	0.00366912	0.00389834
9.00000000	0.00329968	0.00367623
11.00000000	0.00471258	0.00462868
14.00000000	0.00324750	0.00372790
17.00000000	0.00246764	0.00308089
21.00000000	0.00408717	0.00385008
25.00000000	0.00240543	0.00354766
29.00000000	0.00147353	0.00323575
34.00000000	0.00327092	0.00352301
39.00000000	0.00126011	0.00325873
44.00000000	0.00222377	0.00470093
49.00000000	0.00092154	0.00305557
54.00000000	0.00199019	0.00297935
59.00000000	0.00085543	0.00306523
64.00000000	0.00209465	0.00615949
69.00000000	0.00074097	0.00280903
74.00000000	0.00175135	0.00272863
79.00000000	0.00071087	0.00288360
84.00000000	0.00169138	0.00271337
89.00000000	0.00057484	0.00273637
94.00000000	0.00189257	0.00307936
99.00000000	0.00060763	0.00262351
